,screen_name,username,user_id,tweet_id,tweet_url,timestamp,timestamp_epochs,text,text_html,links,hashtags,has_media,img_urls,video_url,likes,retweets,replies,is_replied,is_reply_to,parent_tweet_id,reply_to_users
181,ayycourtneygee,cσurtnєч,1363259082,1.24693E+18,/ayycourtneygee/status/1246934262647066630,05-04-2020 22:54,1586127269,I’m jealous ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">I’m jealous <img alt=""😭"" aria-label=""Emoji: Loudly crying face"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f62d.png"" title=""Loudly crying face""/></p>",[],[],FALSE,[],,0,0,0,FALSE,TRUE,1.24682E+18,"[{'screen_name': 'sucker4life09', 'user_id': '31413500'}, {'screen_name': 'dunkindonuts', 'user_id': '8771022'}]"
182,Jonatan1Mejia,Jonatan Mejia,30693572,1.24693E+18,/Jonatan1Mejia/status/1246933799746797569,05-04-2020 22:52,1586127159,Just made some ginger tea with a black tea bag to get me caffeinated because i fucking miss going out for a walk to get coffee. The first month out of this I will be purchasing a large ice latte all month from @dunkindonuts .. miss u babe!,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Just made some ginger tea with a black tea bag to get me caffeinated because i fucking miss going out for a walk to get coffee. The first month out of this I will be purchasing a large ice latte all month from <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""8771022"" dir=""ltr"" href=""/dunkindonuts""><s>@</s><b><strong>dunkindonuts</strong></b></a> .. miss u babe!</p>",[],[],FALSE,[],,0,0,0,FALSE,FALSE,,[]
183,rickfriel,Rick Friel,102827110,1.24693E+18,/rickfriel/status/1246931532876361728,05-04-2020 22:43,1586126618,"@dunkindonuts thank you!
Local Dunkin’ Franchisee Group Gives Back to Front Line Responders - Rutherford Source https://rutherfordsource.com/local-dunkin-franchisee-group-gives-back-front-line-responders/ … via @rutherfordsrcevg","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""8771022"" dir=""ltr"" href=""/dunkindonuts""><s>@</s><b><strong>dunkindonuts</strong></b></a> thank you!
Local Dunkin’ Franchisee Group Gives Back to Front Line Responders - Rutherford Source <a class=""twitter-timeline-link"" data-expanded-url=""https://rutherfordsource.com/local-dunkin-franchisee-group-gives-back-front-line-responders/"" dir=""ltr"" href=""https://t.co/kZRc8HnHG3"" rel=""nofollow noopener"" target=""_blank"" title=""https://rutherfordsource.com/local-dunkin-franchisee-group-gives-back-front-line-responders/""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">rutherfordsource.com/local-dunkin-f</span><span class=""invisible"">ranchisee-group-gives-back-front-line-responders/</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a> via @rutherfordsrcevg</p>",['https://rutherfordsource.com/local-dunkin-franchisee-group-gives-back-front-line-responders/'],[],FALSE,[],,0,0,0,FALSE,FALSE,,[]
184,Jilly005,Jillian LaFlam,7.80753E+17,1.24693E+18,/Jilly005/status/1246927915448745984,05-04-2020 22:29,1586125756,We was my fave that year. So clutch! Heard he owns a handful of @dunkindonuts now. ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">We was my fave that year. So clutch! Heard he owns a handful of <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""8771022"" dir=""ltr"" href=""/dunkindonuts""><s>@</s><b><strong>dunkindonuts</strong></b></a> now. <img alt=""🤷🏻‍♀️"" aria-label=""Emoji: Woman shrugging (light skin tone)"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f937-1f3fb-200d-2640-fe0f.png"" title=""Woman shrugging (light skin tone)""/></p>",[],[],FALSE,[],,0,0,0,FALSE,TRUE,1.24689E+18,"[{'screen_name': 'Section10Pod', 'user_id': '3054474735'}]"
185,ShawnTempesta,Shawn Tempesta,18462551,1.24693E+18,/ShawnTempesta/status/1246925474271391744,05-04-2020 22:19,1586125174,I've had to do that before. Hey. Tough times.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">I've had to do that before. Hey. Tough times.</p>",[],[],FALSE,[],,2,0,0,FALSE,TRUE,1.24692E+18,"[{'screen_name': 'JasonDinant', 'user_id': '1095745290164887552'}, {'screen_name': 'LasVegasLocally', 'user_id': '1587143948'}]"
186,ellynthegreat,Ellyn 엘린🌈👩🏻‍⚕️,154298611,1.24693E+18,/ellynthegreat/status/1246925155336667136,05-04-2020 22:18,1586125098,i am sooo craving for @dunkindonuts choco butternut right now!!!!!!!!!!!,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">i am sooo craving for <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""8771022"" dir=""ltr"" href=""/dunkindonuts""><s>@</s><b><strong>dunkindonuts</strong></b></a> choco butternut right now!!!!!!!!!!!</p>",[],[],FALSE,[],,1,0,1,TRUE,FALSE,,[]
187,CollinMorphi,Collin morphi,1.21583E+18,1.24692E+18,/CollinMorphi/status/1246924895432441858,05-04-2020 22:17,1586125036,"You should start eating healthier, David","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">You should start eating healthier, David</p>",[],[],FALSE,[],,0,0,0,FALSE,TRUE,1.24692E+18,"[{'screen_name': 'DaveBrz', 'user_id': '20376877'}, {'screen_name': 'dunkindonuts', 'user_id': '8771022'}]"
188,DaveBrz,David Brzezon,20376877,1.24692E+18,/DaveBrz/status/1246924475548958721,05-04-2020 22:15,1586124936,"Line too long. (at @DunkinDonuts in Ansonia, CT) https://www.swarmapp.com/c/cbpMbFLi4he ","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Line too long. (at <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""8771022"" dir=""ltr"" href=""/dunkindonuts""><s>@</s><b><strong>DunkinDonuts</strong></b></a> in Ansonia, CT) <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://www.swarmapp.com/c/cbpMbFLi4he"" dir=""ltr"" href=""https://t.co/XTeHhurk1L"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.swarmapp.com/c/cbpMbFLi4he""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">swarmapp.com/c/cbpMbFLi4he</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>",['https://www.swarmapp.com/c/cbpMbFLi4he'],[],FALSE,[],,0,0,1,TRUE,FALSE,,[]
189,SHNJFJY95,SHNJFJY,1.24663E+18,1.24692E+18,/SHNJFJY95/status/1246922481379622913,05-04-2020 22:07,1586124460,"Goodmorning!  

#coffee #Dunkindonuts pic.twitter.com/hdkzcKPud6","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Goodmorning!  

<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/coffee?src=hash""><s>#</s><b>coffee</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Dunkindonuts?src=hash""><s>#</s><b><strong>Dunkindonuts</strong></b></a> <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/hdkzcKPud6"">pic.twitter.com/hdkzcKPud6</a></p>",[],"['coffee', 'Dunkindonuts']",TRUE,['https://pbs.twimg.com/media/EU31YVYUwAA1gCC.jpg'],,0,0,0,FALSE,FALSE,,[]
190,FlynnTimothy,Tim Flynn,435887994,1.24692E+18,/FlynnTimothy/status/1246921460700061697,05-04-2020 22:03,1586124217,8 is @dunkindonuts coffee if you add cream https://twitter.com/juliancamarena/status/1246497603711152128 …,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en"">8 is <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""8771022"" dir=""ltr"" href=""/dunkindonuts""><s>@</s><b><strong>dunkindonuts</strong></b></a> coffee if you add cream <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/juliancamarena/status/1246497603711152128"" dir=""ltr"" href=""https://t.co/ekqcS9KoRo"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/juliancamarena/status/1246497603711152128""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/juliancamarena</span><span class=""invisible"">/status/1246497603711152128</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://twitter.com/juliancamarena/status/1246497603711152128'],[],FALSE,[],,4,0,0,FALSE,FALSE,,[]
191,_JoeysWorldTour,Joey's World Tour!,26114568,1.24692E+18,/_JoeysWorldTour/status/1246920550221598721,05-04-2020 22:00,1586124000,"@dunkindonuts Munchkins Donut Hole Treats Review!
https://youtu.be/S-jY2jRQUZI 
#Dunkin #DunkinDonuts
#comfortfood
#ClapBecauseWeCare
#StayHomeSaveLivespic.twitter.com/EtTXMknTjX","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""8771022"" dir=""ltr"" href=""/dunkindonuts""><s>@</s><b><strong>dunkindonuts</strong></b></a> Munchkins Donut Hole Treats Review!
<a class=""twitter-timeline-link"" data-expanded-url=""https://youtu.be/S-jY2jRQUZI"" dir=""ltr"" href=""https://t.co/2VyBy8v6uU"" rel=""nofollow noopener"" target=""_blank"" title=""https://youtu.be/S-jY2jRQUZI""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">youtu.be/S-jY2jRQUZI</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a>
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Dunkin?src=hash""><s>#</s><b>Dunkin</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/DunkinDonuts?src=hash""><s>#</s><b><strong>DunkinDonuts</strong></b></a>
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/comfortfood?src=hash""><s>#</s><b>comfortfood</b></a>
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ClapBecauseWeCare?src=hash""><s>#</s><b>ClapBecauseWeCare</b></a>
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/StayHomeSaveLives?src=hash""><s>#</s><b>StayHomeSaveLives</b></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/EtTXMknTjX"">pic.twitter.com/EtTXMknTjX</a></p>",['https://youtu.be/S-jY2jRQUZI'],"['Dunkin', 'DunkinDonuts', 'comfortfood', 'ClapBecauseWeCare', 'StayHomeSaveLivespic']",TRUE,['https://pbs.twimg.com/media/EU3YXLXUUAA_Wvm.jpg'],,1,0,0,FALSE,FALSE,,[]
192,SamanthaRa10,Samantha Ra,1.07812E+18,1.24692E+18,/SamanthaRa10/status/1246917393873592320,05-04-2020 21:47,1586123247,Quarantine day 15? — i walked to @dunkindonuts and they were closed,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Quarantine day 15? — i walked to <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""8771022"" dir=""ltr"" href=""/dunkindonuts""><s>@</s><b><strong>dunkindonuts</strong></b></a> and they were closed</p>",[],[],FALSE,[],,2,0,0,FALSE,FALSE,,[]
193,WordsbySeth,WordsBySeth,180227683,1.24692E+18,/WordsbySeth/status/1246915923379978240,05-04-2020 21:41,1586122897,"Dropped off @dunkindonuts for my dad. Maintained #socialdistancing but it was good to see him. @ Rockwell, Arkansas https://www.instagram.com/p/B-nVkuwDbPu/?igshid=8hgp3xizwe0v …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Dropped off <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""8771022"" dir=""ltr"" href=""/dunkindonuts""><s>@</s><b><strong>dunkindonuts</strong></b></a> for my dad. Maintained <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/socialdistancing?src=hash""><s>#</s><b>socialdistancing</b></a> but it was good to see him. @ Rockwell, Arkansas <a class=""twitter-timeline-link"" data-expanded-url=""https://www.instagram.com/p/B-nVkuwDbPu/?igshid=8hgp3xizwe0v"" dir=""ltr"" href=""https://t.co/yTAxP6Mvv2"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.instagram.com/p/B-nVkuwDbPu/?igshid=8hgp3xizwe0v""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">instagram.com/p/B-nVkuwDbPu/</span><span class=""invisible"">?igshid=8hgp3xizwe0v</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://www.instagram.com/p/B-nVkuwDbPu/?igshid=8hgp3xizwe0v'],['socialdistancing'],FALSE,[],,1,0,0,FALSE,FALSE,,[]
194,MindOfAbram,Mind Of Abram,176513256,1.24692E+18,/MindOfAbram/status/1246915611520884740,05-04-2020 21:40,1586122823,"I love @dunkindonuts, but I find it weird that @DelTaco is faring poorly. For breakfast, it’s D&D, for dinner, Del Taco.https://twitter.com/MindOfAbram/status/1246889479144722432 …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en"">I love <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""8771022"" dir=""ltr"" href=""/dunkindonuts""><s>@</s><b><strong>dunkindonuts</strong></b></a>, but I find it weird that <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""89840669"" dir=""ltr"" href=""/DelTaco""><s>@</s><b>DelTaco</b></a> is faring poorly. For breakfast, it’s D&amp;D, for dinner, Del Taco.<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/MindOfAbram/status/1246889479144722432"" dir=""ltr"" href=""https://t.co/ccDZI7Ih4i"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/MindOfAbram/status/1246889479144722432""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/MindOfAbram/st</span><span class=""invisible"">atus/1246889479144722432</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://twitter.com/MindOfAbram/status/1246889479144722432'],[],FALSE,[],,0,0,0,FALSE,FALSE,,[]
